Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016
Cooperative endangered species conservation fund,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,56
Energy information administration,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,276,121
North American wetlands conservation fund,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,-1
"National Forests Fund, Payment to States                        ",Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,300,302,9
"Leases of Lands Acquired for Flood Control, Navigation, and Alli",Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,300,302,23
Energy Innovation Fund                                          ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Housing Programs,270,272,8
States Share from Certain Gulf of Mexico Leases                 ,Mandatory,Other Spending,Department of the Interior                                      ,Departmental Offices                                            ,300,302,1
Contributed funds,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,4
Enforcement,Discretionary,Nondefense,Department of the Treasury                                      ,Internal Revenue Service,750,751,585
Miscellaneous permanent payment accounts,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,300,302,7
Permanent operating funds,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,300,302,84
Miscellaneous permanent appropriations,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,4
Miscellaneous trust funds,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,300,302,22
Interior Mineral Receipts,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,302,"-2,920"
Land and Resources Trust Fund,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,302,-25
Interior Miscellaneous,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,302,-8
USFWS trust receipts,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,302,-4
Interior Timber,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,302,-80
General fund appropriations to FWS special funds,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,302,-74
Southern Nevada public land management,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,302,-30
"Rents, charges and sales, Fish and Wildlife Service",Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,302,-20
Natural resources damages from legal actions,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,302,-80
Enforcement,Discretionary,Nondefense,Department of the Treasury                                      ,Internal Revenue Service,800,803,"4,261"
English Language Acquisition                                    ,Discretionary,Nondefense,Department of Education                                         ,Office of English Language Acquisition,500,501,702
Forest Service permanent appropriations,Mandatory,Other Spending,Department of Agriculture                                       ,Forest Service,300,303,53
"Recreation use Fees, Forest Service",Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,300,303,0
Forest service recreational fee demo program,Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,300,303,-69
Entrepreneurial Development Program,Discretionary,Nondefense,Small Business Administration                                   ,Small Business Administration,370,376,207
Environmental compliance and restoration,Discretionary,Nondefense,Department of Homeland Security                                 ,United States Coast Guard,300,304,10
Construction (and Major Maintenance)                            ,Mandatory,Other Spending,Department of the Interior                                      ,National Park Service,300,303,3
Environmental Dispute Resolution Fund                           ,Discretionary,Nondefense,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,300,306,3
Environmental programs and management,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,"2,644"
Federal aid in wildlife restoration,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,300,303,643
Executive Offices                                               ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,600,604,15
Land acquisition and State assistance,Mandatory,Other Spending,Department of the Interior                                      ,National Park Service,300,303,-1
Migratory bird conservation account,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,300,303,65
Expenses                                                        ,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,171
"Recreation enhancement fee program, FWS                         ",Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,300,303,6
Sport fish restoration,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,300,303,431
Other permanent appropriations,Mandatory,Other Spending,Department of the Interior                                      ,National Park Service,300,303,142
Permanent operating funds,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,300,303,17
Recreation fee permanent appropriations,Mandatory,Other Spending,Department of the Interior                                      ,National Park Service,300,303,181
Miscellaneous trust funds,Mandatory,Other Spending,Department of the Interior                                      ,National Park Service,300,303,62
Fish and wildlife recreation fees,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,303,-16
National Park Service User/Entrance Fees,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,303,-352
Everglades restoration account (Farm Bill),Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,303,-9
"Fee collection support, public lands",Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,303,0
"Sales of hunting and fishing permits, Navy",Mandatory,Offsetting receipts,Other Defense Civil Programs                                    ,"Forest and Wildlife Conservation, Military Reservations",300,303,-3
National Park Service Infrastructure,Mandatory,Other Spending,Department of the Interior                                      ,National Park Service,300,303,0
"Recreation user fees, Corp of Engineers",Mandatory,Offsetting receipts,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,303,-44
Wildlife conservation,Mandatory,Other Spending,Other Defense Civil Programs                                    ,"Forest and Wildlife Conservation, Military Reservations",300,303,4
Expenses on US Senate Caucus on International Narcotics Control,Discretionary,Nondefense,Legislative Branch                                              ,Senate,800,801,1
Exploration                                                     ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,250,252,"4,365"
Export-Import Bank loans program account,Discretionary,Nondefense,Export-Import Bank of the United States                         ,Export-Import Bank of the United States                         ,150,155,-412
Extension activities,Discretionary,Nondefense,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,350,352,440
Facilities and equipment (Airport and airway trust fund),Discretionary,Nondefense,Department of Transportation                                    ,Federal Aviation Administration,400,402,"2,677"
Facilities capital,Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,500,503,136
Fair housing activities,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Fair Housing and Equal Opportunity,750,751,66
Fair Housing and Equal Opportunity Personnel Compensation and Be,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,750,751,72
Falcon and Amistad operating and maintenance fund,Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,270,271,0
Family Self-Sufficiency                                         ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,600,604,85
Reregistration and expedited processing revolving fund,Mandatory,Other Spending,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,-2
Federal buildings fund,Discretionary,Nondefense,General Services Administration                                 ,Real Property Activities,800,804,-807
"Federal Buildings Fund, Recovery Act                            ",Discretionary,Nondefense,General Services Administration                                 ,Real Property Activities,800,804,25
Federal Citizen Services Fund                                   ,Discretionary,Nondefense,General Services Administration                                 ,General Activities,370,376,40
Federal Disability Insurance Trust Fund                         ,Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,650,651,"2,964"
Hazardous Substance Superfund                                   ,Mandatory,Other Spending,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,29
Federal Hospital Insurance Trust Fund                           ,Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,570,571,"2,621"
Federal Old-age and Survivors Insurance Trust Fund              ,Discretionary,Nondefense,Social Security Administration                                  ,Social Security Administration,650,651,"2,717"
Federal Payment for Defender Services in District of Columbia Co,Discretionary,Nondefense,District of Columbia                                            ,District of Columbia Courts                                     ,800,806,50
Superfund Recoveries,Mandatory,Offsetting receipts,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,-85
Federal payment for emergency planning and security cost in the,Discretionary,Nondefense,District of Columbia                                            ,District of Columbia General and Special Payments               ,800,806,13
Federal payment for resident tuition support,Discretionary,Nondefense,District of Columbia                                            ,District of Columbia General and Special Payments               ,500,502,40
Maritime Oil Spill Programs                                     ,Mandatory,Other Spending,Department of Homeland Security                                 ,United States Coast Guard,300,304,165
"Reimbursements, Oil Spill Liability Trust Fund",Mandatory,Offsetting receipts,Department of Homeland Security                                 ,United States Coast Guard,300,304,-8
Federal payment for school improvement,Discretionary,Nondefense,District of Columbia                                            ,District of Columbia General and Special Payments               ,500,501,45
Federal Payment to Morris K. Udall and Stewart L. Udall Foundati,Discretionary,Nondefense,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,500,502,2
"Operations, research, and facilities",Mandatory,Other Spending,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,300,306,29
Federal Payment to the Court Services and Offender Supervision A,Discretionary,Nondefense,Court Services and Offender Supervision Agency for the District ,Court Services and Offender Supervision Agency for the District ,750,752,228
Federal Payment to the District of Columbia Courts              ,Discretionary,Nondefense,District of Columbia                                            ,District of Columbia Courts                                     ,800,806,272
"Procurement, acquisition and construction",Mandatory,Other Spending,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,300,306,50
Federal Payment to the District of Columbia Public Defender Serv,Discretionary,Nondefense,Public Defender Service for the District of Columbia            ,Public Defender Service for the District of Columbia            ,750,754,41
Damage assessment and restoration revolving fund,Mandatory,Other Spending,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,300,306,-15
Limited access system administration fund,Mandatory,Other Spending,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,300,306,11
"Federal Prison Industries, Incorporated",Discretionary,Nondefense,Department of Justice                                           ,Federal Prison System,750,753,5
Federal prisoner detention,Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,752,"1,204"
Federal Protective Service                                      ,Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,800,804,-22
Federal Supplementary Medical Insurance Trust Fund              ,Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,570,571,"2,913"
"Surveys, investigations, and research",Mandatory,Other Spending,Department of the Interior                                      ,United States Geological Survey,300,306,7
Helium fund,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Land Management,300,306,-189
Federal support for economic development and management reforms,Discretionary,Nondefense,District of Columbia                                            ,District of Columbia General and Special Payments               ,800,806,22
Working Capital Fund                                            ,Mandatory,Other Spending,Department of the Interior                                      ,Department-Wide Programs                                        ,300,306,15
Coastal Impact Assistance                                       ,Mandatory,Other Spending,Department of the Interior                                      ,United States Fish and Wildlife Service,300,306,120
Contributed funds,Mandatory,Other Spending,Department of the Interior                                      ,United States Geological Survey,300,306,1
Bureau of Mines,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,306,-1
"Contributed funds, Geological Survey",Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,306,-1
Cheyenne River Sioux Tribe Terrestrial Wildlife Habitat Restorat,Mandatory,Other Spending,Department of the Treasury                                      ,Fiscal Service                                                  ,300,306,4
South Dakota terrestrial wildlife habitat restoration trust fund,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,306,7
Federal trust programs                                          ,Discretionary,Nondefense,Department of the Interior                                      ,Office of the Special Trustee for American Indians              ,800,808,139
Environmental Dispute Resolution Fund                           ,Mandatory,Other Spending,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,300,306,3
Morris K. Udall environmental dispute resolution fund receipts,Mandatory,Offsetting receipts,Morris K. Udall and Stewart L. Udall Foundation                 ,Morris K. Udall and Stewart L. Udall Foundation                 ,300,306,-3
Federal-aid highways,Discretionary,Nondefense,Department of Transportation                                    ,Federal Highway Administration,400,401,"40,606"
Fees of jurors and commissioners,Discretionary,Nondefense,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",750,752,44
FHA-general and special risk program account,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Housing Programs,370,371,-532
Agricultural credit insurance fund program account,Mandatory,Other Spending,Department of Agriculture                                       ,Farm Service Agency,350,351,170
FHA-mutual mortgage insurance capital reserve account,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Housing Programs,370,371,"-7,215"
Commodity Credit Corporation export loans program account,Mandatory,Other Spending,Department of Agriculture                                       ,Farm Service Agency,350,351,3
FHA-mutual mortgage insurance program account,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Housing Programs,370,371,130
Public law 480 title I direct credit and food for progress progr,Mandatory,Other Spending,Department of Agriculture                                       ,Foreign Agricultural Service,350,351,-1
Financial Management Capital                                    ,Discretionary,Nondefense,Department of Transportation                                    ,Office of the Secretary,400,407,6
Firefighter assistance grants,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,684
Farm storage facility loans program account,Mandatory,Other Spending,Department of Agriculture                                       ,Farm Service Agency,350,351,16
Federal crop insurance corporation fund,Mandatory,Other Spending,Department of Agriculture                                       ,Risk Management Agency,350,351,"7,338"
Agricultural credit insurance fund liquidating account,Mandatory,Other Spending,Department of Agriculture                                       ,Farm Service Agency,350,351,-77
Commodity Credit Corporation fund,Mandatory,Other Spending,Department of Agriculture                                       ,Farm Service Agency,350,351,"7,250"
Commodity Credit Corporation guaranteed loans liquidating accoun,Mandatory,Other Spending,Department of Agriculture                                       ,Farm Service Agency,350,351,-10
Pima Agriculture Cotton Trust Fund                              ,Mandatory,Other Spending,Department of Agriculture                                       ,Farm Service Agency,350,351,15
Agriculture Wool Apparel Manufacturers Trust Fund               ,Mandatory,Other Spending,Department of Agriculture                                       ,Farm Service Agency,350,351,28
Milk market orders assessment fund,Mandatory,Other Spending,Department of Agriculture                                       ,Agricultural Marketing Service,350,351,0
Limitation on Administrative Expenses                           ,Mandatory,Other Spending,Farm Credit Administration                                      ,Farm Credit Administration                                      ,350,351,11
Farm Credit System Insurance Fund                               ,Mandatory,Other Spending,Farm Credit System Insurance Corporation                        ,Farm Credit System Insurance Corporation                        ,350,351,-289
Fisheries Disaster Assistance,Discretionary,Nondefense,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,370,376,3
Fisheries finance program account,Discretionary,Nondefense,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,370,376,-6
Flexible subsidy fund,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Housing Programs,600,604,-42
Flood control and coastal emergencies,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,468
Office of the Chief Economist                                   ,Mandatory,Other Spending,Department of Agriculture                                       ,Executive Operations,350,352,1
Flood Hazard Mapping and Risk Analysis Program                  ,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,138
Extension activities,Mandatory,Other Spending,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,350,352,19
Food for Peace Title II Grants                                  ,Discretionary,Nondefense,Department of Agriculture                                       ,Foreign Agricultural Service,150,151,"1,414"
Foreign Currency Fluctuations Account                           ,Discretionary,Nondefense,Other Defense Civil Programs                                    ,American Battle Monuments Commission,700,705,2
Foreign military financing loan program account,Discretionary,Nondefense,International Assistance Programs                               ,International Security Assistance,150,152,63
Foreign military financing program,Discretionary,Nondefense,International Assistance Programs                               ,International Security Assistance,150,152,"5,704"
Forest and rangeland research,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,300,302,312
Formula grants,Discretionary,Nondefense,Department of Transportation                                    ,Federal Transit Administration,400,401,30
Fossil energy research and development,Discretionary,Nondefense,Department of Energy                                            ,Energy Programs,270,271,543
Integrated activities,Mandatory,Other Spending,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,350,352,113
Gallaudet University,Discretionary,Nondefense,Department of Education                                         ,Office of Special Education and Rehabilitative Services,500,502,121
Salaries and expenses,Mandatory,Other Spending,Department of Agriculture                                       ,Animal and Plant Health Inspection Service,350,352,460
General Administration                                          ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,705,336
General departmental management,Discretionary,Nondefense,Department of Health and Human Services                         ,Departmental Management,550,551,444
General expenses                                                ,Discretionary,Nondefense,Legislative Branch                                              ,Capitol Police,800,801,65
"General fund payment, Armed Forces Retirement Home              ",Discretionary,Nondefense,Other Defense Civil Programs                                    ,Armed Forces Retirement Home,600,602,0
"General Operating Expenses, Veterans Benefits Administration    ",Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,705,"2,660"
Gifts and Contributions                                         ,Discretionary,Nondefense,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,500,506,204
Marketing services,Mandatory,Other Spending,Department of Agriculture                                       ,Agricultural Marketing Service,350,352,34
Global Agriculture and Food Security Program                    ,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,43
Payments to States and possessions,Mandatory,Other Spending,Department of Agriculture                                       ,Agricultural Marketing Service,350,352,59
Global Health Programs                                          ,Discretionary,Nondefense,Department of State                                             ,Other,150,151,"8,337"
Salaries and expenses,Mandatory,Other Spending,Department of Agriculture                                       ,Foreign Agricultural Service,350,352,1
Global HIV/AIDs Initiative                                      ,Discretionary,Nondefense,Department of State                                             ,Other,150,151,15
Limitation on inspection and weighing services expenses,Mandatory,Other Spending,Department of Agriculture                                       ,"Grain Inspection, Packers and Stockyards Administration",350,352,-3
Perishable Agricultural Commodities Act fund,Mandatory,Other Spending,Department of Agriculture                                       ,Agricultural Marketing Service,350,352,11
"Expenses and refunds, inspection and grading of farm products",Mandatory,Other Spending,Department of Agriculture                                       ,Agricultural Marketing Service,350,352,169
"Expenses and refunds, inspection and grading of farm products",Mandatory,Other Spending,Department of Agriculture                                       ,Food Safety and Inspection Service,350,352,11
Gifts and bequests,Mandatory,Other Spending,Department of Agriculture                                       ,Office of the Secretary,350,352,1
Miscellaneous contributed funds,Mandatory,Other Spending,Department of Agriculture                                       ,Agricultural Research Service,350,352,30
Global Security Contingency Fund                                ,Discretionary,Nondefense,International Assistance Programs                               ,International Security Assistance,150,152,45
Office of the Secretary,Mandatory,Other Spending,Department of Agriculture                                       ,Office of the Secretary,350,352,12
Miscellaneous trust funds,Mandatory,Other Spending,Department of Agriculture                                       ,Animal and Plant Health Inspection Service,350,352,9
"Misc Contributed Funds, Agric.",Mandatory,Offsetting receipts,Department of Agriculture                                       ,Department of Agriculture,350,352,-212
Government Publishing Office Business Operations Revolving Fund ,Discretionary,Nondefense,Legislative Branch                                              ,Government Publishing Office                                    ,800,808,9
Rural housing insurance fund program account,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Housing Service,370,371,"3,009"
Rural housing insurance fund liquidating account,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Housing Service,370,371,-500
GSE Mortgage-Backed Securities Purchase Program Account         ,Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,370,371,-14
"GSE Fees Pursuant to PL112-78, sec. 401",Mandatory,Offsetting receipts,Department of the Treasury                                      ,Department of the Treasury,370,371,"-2,800"
Dividend Payments on Preferred Stock Issued by Fannie/Freddie,Mandatory,Offsetting receipts,Department of the Treasury                                      ,Department of the Treasury,370,371,"-15,800"
Hope bond payment fund,Mandatory,Other Spending,Department of the Treasury                                      ,Department of the Treasury,370,371,0
Government-wide Policy                                          ,Discretionary,Nondefense,General Services Administration                                 ,General Activities,800,804,58
FHA-mutual mortgage insurance program account,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Housing Programs,370,371,"-11,952"
Grants and Administration                                       ,Discretionary,Nondefense,National Endowment for the Arts                                 ,National Endowment for the Arts                                 ,500,503,146
Guarantees of mortgage-backed securities loan guarantee program,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Government National Mortgage Association,370,371,"-1,646"
Grants and Administration                                       ,Discretionary,Nondefense,National Endowment for the Humanities                           ,National Endowment for the Humanities                           ,500,503,148
FHA-general and special risk program account,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Housing Programs,370,371,"1,814"
Grants for Construction of State Extended Care Facilities       ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,703,95
Indian housing loan guarantee fund program account,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,370,371,32
Grants for Construction of Veterans Cemeteries                  ,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,705,47
FHA-mutual mortgage insurance capital reserve account,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Housing Programs,370,371,-25
Grants for Energy Efficiency and Greenhouse Gas Reductions      ,Discretionary,Nondefense,Department of Transportation                                    ,Federal Transit Administration,400,401,10
Guarantees of Mortgage-backed Securities Capital Reserve Account,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Government National Mortgage Association,370,371,"1,796"
Emergency Homeowners' Relief Fund                               ,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Housing Programs,370,371,29
FHA-mutual mortgage and cooperative housing insurance funds liqu,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Housing Programs,370,371,10
FHA-general and special risk insurance funds liquidating account,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Housing Programs,370,371,-125
Housing for the elderly or handicapped fund liquidating account,Mandatory,Other Spending,Department of Housing and Urban Development                     ,Housing Programs,370,371,-450
Fannie Mae and Freddie Mac in federal budget,Mandatory,Other Spending,New Agency                                                      ,New Bureau                                                      ,370,371,0
"Federal Housing Finance Agency, Administrative Expenses         ",Mandatory,Other Spending,Federal Housing Finance Agency                                  ,Federal Housing Finance Agency                                  ,370,371,255
Grants to the National Railroad Passenger Corporation           ,Discretionary,Nondefense,Department of Transportation                                    ,Federal Railroad Administration,400,401,50
Grants-in-aid for airports (Airport and airway trust fund),Discretionary,Nondefense,Department of Transportation                                    ,Federal Aviation Administration,400,402,"3,485"
Grassroots source water protection program                      ,Discretionary,Nondefense,Department of Agriculture                                       ,Farm Service Agency,300,302,8
Postal Service fund,Mandatory,Other Spending,Postal Service                                                  ,Postal Service                                                  ,370,372,-882
Postal Service contributions for benefits paid to retirees,Mandatory,Offsetting receipts,Office of Personnel Management                                  ,Office of Personnel Management,370,372,0
Assessment funds,Mandatory,Other Spending,Department of the Treasury                                      ,Comptroller of the Currency,370,373,-53
Credit union share insurance fund,Mandatory,Other Spending,National Credit Union Administration                            ,National Credit Union Administration                            ,370,373,-435
Central liquidity facility,Mandatory,Other Spending,National Credit Union Administration                            ,National Credit Union Administration                            ,370,373,-23
Guarantees of Mortgage-backed Securities Capital Reserve Account,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Government National Mortgage Association,370,371,-924
Community Development Revolving Loan Fund                       ,Mandatory,Other Spending,National Credit Union Administration                            ,National Credit Union Administration                            ,370,373,1
Temporary Corporate Credit Union Stabilization Fund,Mandatory,Other Spending,National Credit Union Administration                            ,National Credit Union Administration                            ,370,373,-500
FSLIC resolution fund,Mandatory,Other Spending,Federal Deposit Insurance Corporation                           ,FSLIC Resolution                                                ,370,373,514
Guarantees of mortgage-backed securities loan guarantee program,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Government National Mortgage Association,370,371,-115
Deposit Insurance Fund                                          ,Mandatory,Other Spending,Federal Deposit Insurance Corporation                           ,Deposit Insurance                                               ,370,373,"-10,124"
Orderly Liquidation Fund                                        ,Mandatory,Other Spending,Federal Deposit Insurance Corporation                           ,Orderly Liquidation                                             ,370,373,400
Harbor maintenance trust fund,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,"1,254"
Payments to copyright owners,Mandatory,Other Spending,Legislative Branch                                              ,Library of Congress,370,376,5
Spectrum Relocation Fund                                        ,Mandatory,Other Spending,Executive Office of the President                               ,Unanticipated Needs,370,376,10
Hazardous Materials Management                                  ,Discretionary,Nondefense,Department of Agriculture                                       ,Hazardous Materials Management                                  ,300,304,6
Hazardous materials safety                                      ,Discretionary,Nondefense,Department of Transportation                                    ,Pipeline and Hazardous Materials Safety Administration          ,400,407,52
Hazardous Substance Superfund                                   ,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,"1,079"
Hazardous Waste Electronic Manifest System Fund                 ,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,4
HCHB renovation and modernization                               ,Discretionary,Nondefense,Department of Commerce                                          ,Departmental Management,370,376,14
Health care fraud and abuse control account,Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,570,571,573
Current Surveys and Programs                                    ,Mandatory,Other Spending,Department of Commerce                                          ,Bureau of the Census,370,376,28
Health resources and services,Discretionary,Nondefense,Department of Health and Human Services                         ,Health Resources and Services Administration,550,551,"4,859"
Health resources and services,Discretionary,Nondefense,Department of Health and Human Services                         ,Health Resources and Services Administration,550,552,760
Wireless Innovation (WIN) Fund                                  ,Mandatory,Other Spending,Department of Commerce                                          ,National Institute of Standards and Technology,370,376,10
Healthcare research and quality                                 ,Discretionary,Nondefense,Department of Health and Human Services                         ,Agency for Healthcare Research and Quality,550,552,259
State and Local Implementation Fund                             ,Mandatory,Other Spending,Department of Commerce                                          ,National Telecommunications and Information Administration,370,376,20
HHS accrual contribution to the uniformed services retiree healt,Discretionary,Nondefense,Department of Health and Human Services                         ,Program Support Center,550,551,26
High energy cost grants,Discretionary,Nondefense,Department of Agriculture                                       ,Rural Utilities Service,450,452,10
High Intensity Drug Trafficking Areas Program                   ,Discretionary,Nondefense,Federal Drug Control Programs                                   ,Federal Drug Control Programs                                   ,750,754,245
Higher education,Discretionary,Nondefense,Department of Education                                         ,Office of Postsecondary Education,500,502,"1,915"
Highway Infrastructure Programs                                 ,Discretionary,Nondefense,Department of Transportation                                    ,Federal Highway Administration,400,401,10
Highway traffic safety grants,Discretionary,Nondefense,Department of Transportation                                    ,National Highway Traffic Safety Administration,400,401,620
Fisheries finance program account,Mandatory,Other Spending,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,370,376,-1
Historic preservation fund,Discretionary,Nondefense,Department of the Interior                                      ,National Park Service,300,303,63
Holocaust Memorial Museum                                       ,Discretionary,Nondefense,United States Holocaust Memorial Museum                         ,United States Holocaust Memorial Museum                         ,500,503,54
Network Construction Fund,Mandatory,Other Spending,Department of Commerce                                          ,National Telecommunications and Information Administration,370,376,0
Home investment partnership program,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Community Planning and Development,600,604,"1,100"
Promote and develop fishery products and research pertaining to,Mandatory,Other Spending,Department of Commerce                                          ,National Oceanic and Atmospheric Administration,370,376,6
Digital television transition and public safety fund            ,Mandatory,Other Spending,Department of Commerce                                          ,National Telecommunications and Information Administration,370,376,5
"Sanctuaries Enforcement Asset Forfeiture Fund, Deposits",Mandatory,Offsetting receipts,Department of Commerce                                          ,Department of Commerce,370,376,-1
Public Safety Trust Fund                                        ,Mandatory,Other Spending,Department of Commerce                                          ,National Telecommunications and Information Administration,370,376,123
Gifts and bequests,Mandatory,Other Spending,Department of Commerce                                          ,Departmental Management,370,376,1
Terrorism insurance program,Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,370,376,130
Office of Financial Stability                                   ,Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,370,376,131
Troubled Asset Relief Program Account                           ,Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,370,376,-108
