Title,DiscMand,MajorSpendingCategory,Agency,Bureau,Func,SubFunc,O2016,DiscMandAgg,MajSpendAgg,FuncAgg,,AgencyAgg,BureauAgg
Aviation Security                                               ,Discretionary,Nondefense,Department of Homeland Security                                 ,Transportation Security Administration                          ,400,402,4313,1195950,608399,90703,,,
Biodefense Countermeasures                                      ,Discretionary,Nondefense,Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,550,551,25,1195950,608399,521222,,,
Board of Veterans Appeals,Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,705,109,1195950,608399,179790,,,
"Books for the Blind and Physically Handicapped, Salaries and Exp",Discretionary,Nondefense,Legislative Branch                                              ,Library of Congress,500,503,54,1195950,608399,106339,,,
"Border Security Fencing, Infrastructure, and Technology         ",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,750,751,353,1195950,608399,57711,,,
Botanic Garden                                                  ,Discretionary,Nondefense,Legislative Branch                                              ,Botanic Garden,800,801,12,1195950,608399,24551,,,
"Broadband Technology Opportunities Program, Recovery Act",Discretionary,Nondefense,Department of Commerce                                          ,National Telecommunications and Information Administration,370,376,25,1195950,608399,-31246,,,
Broadcasting Capital Improvements                               ,Discretionary,Nondefense,Broadcasting Board of Governors                                 ,Broadcasting Board of Governors                                 ,150,154,9,1195950,608399,46041,,,
Development credit authority program account,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,-1,2448710,710521,46041,,,
Economic assistance loans liquidating account,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,-326,2448710,710521,46041,,,
Housing and other credit guaranty programs liquidating account,Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,-7,2448710,710521,46041,,,
"Miscellaneous trust funds, AID",Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,-100,2448710,710521,46041,,,
"Miscellaneous trust funds, AID",Mandatory,Other Spending,International Assistance Programs                               ,Agency for International Development,150,151,100,2448710,710521,46041,,,
Brownfields redevelopment,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Community Planning and Development,450,451,4,1195950,608399,20574,,,
Buildings and facilities,Discretionary,Nondefense,Environmental Protection Agency                                 ,Environmental Protection Agency,300,304,39,1195950,608399,40158,,,
Buildings and facilities,Discretionary,Nondefense,Department of Agriculture                                       ,Agricultural Research Service,350,352,24,1195950,608399,20992,,,
Buildings and facilities,Discretionary,Nondefense,Department of Agriculture                                       ,Animal and Plant Health Inspection Service,350,352,3,1195950,608399,20992,,,
Buildings and facilities,Discretionary,Nondefense,Department of Health and Human Services                         ,National Institutes of Health,550,552,111,1195950,608399,521222,,,
Buildings and facilities,Discretionary,Nondefense,Department of Justice                                           ,Federal Prison System,750,753,99,1195950,608399,57711,,,
Foreign military loan liquidating account,Mandatory,Other Spending,International Assistance Programs                               ,International Security Assistance,150,152,-25,2448710,710521,46041,,,
Business loans program account                                  ,Discretionary,Nondefense,Small Business Administration                                   ,Small Business Administration,370,376,197,1195950,608399,-31246,,,
Business systems modernization,Discretionary,Nondefense,Department of the Treasury                                      ,Internal Revenue Service,800,803,294,1195950,608399,24551,,,
California Bay-Delta restoration,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,300,301,44,1195950,608399,40158,,,
Capital and debt service grants to the National Railroad Passeng,Discretionary,Nondefense,Department of Transportation                                    ,Federal Railroad Administration,400,401,1130,1195950,608399,90703,,,
Capital Assistance for High Speed Rail Corridors                ,Discretionary,Nondefense,Department of Transportation                                    ,Federal Railroad Administration,400,401,1200,1195950,608399,90703,,,
Capital Assistance for High Speed Rail Corridors and Intercity P,Discretionary,Nondefense,Department of Transportation                                    ,Federal Railroad Administration,400,401,150,1195950,608399,90703,,,
"Capital Construction, Dwight D. Eisenhower Memorial  Commission ",Discretionary,Nondefense,Legislative Branch                                              ,Legislative Branch Boards and Commissions,800,801,3,1195950,608399,24551,,,
Capital improvement and maintenance,Discretionary,Nondefense,Department of Agriculture                                       ,Forest Service,300,302,321,1195950,608399,40158,,,
Capital investment fund,Discretionary,Nondefense,Department of State                                             ,Administration of Foreign Affairs,150,153,53,1195950,608399,46041,,,
Capital Investment Fund of the United States Agency for Internat,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,165,1195950,608399,46041,,,
Capital investment grants,Discretionary,Nondefense,Department of Transportation                                    ,Federal Transit Administration,400,401,1946,1195950,608399,90703,,,
Payment to Foreign Service retirement and disability fund,Mandatory,Other Spending,Department of State                                             ,Administration of Foreign Affairs,150,153,221,2448710,710521,46041,,,
"Capital Repair and Restoration, JFK Center for the Performing Ar",Discretionary,Nondefense,Smithsonian Institution                                         ,Smithsonian Institution                                         ,500,503,12,1195950,608399,106339,,,
Capitol building                                                ,Discretionary,Nondefense,Legislative Branch                                              ,Architect of the Capitol,800,801,46,1195950,608399,24551,,,
Repatriation loans program account,Mandatory,Other Spending,Department of State                                             ,Administration of Foreign Affairs,150,153,-2,2448710,710521,46041,,,
Capitol Construction and Operations                             ,Discretionary,Nondefense,Legislative Branch                                              ,Architect of the Capitol,800,801,92,1195950,608399,24551,,,
Capitol grounds,Discretionary,Nondefense,Legislative Branch                                              ,Architect of the Capitol,800,801,12,1195950,608399,24551,,,
"Capitol Police Buildings, Grounds, and Security                 ",Discretionary,Nondefense,Legislative Branch                                              ,Architect of the Capitol,800,801,20,1195950,608399,24551,,,
Capitol power plant,Discretionary,Nondefense,Legislative Branch                                              ,Architect of the Capitol,800,801,101,1195950,608399,24551,,,
International litigation fund,Mandatory,Other Spending,Department of State                                             ,Other,150,153,1,2448710,710521,46041,,,
H&L Fraud Prevention and Detection Fee                          ,Mandatory,Other Spending,Department of State                                             ,Administration of Foreign Affairs,150,153,40,2448710,710521,46041,,,
Miscellaneous trust funds,Mandatory,Other Spending,Department of State                                             ,Administration of Foreign Affairs,150,153,3,2448710,710521,46041,,,
International Center federal payment,Mandatory,Offsetting receipts,Department of State                                             ,Department of State,150,153,-6,2448710,-238286,46041,,,
Payment to Foreign Service Retirement Fund,Mandatory,Other Spending,Department of State                                             ,Department of State,150,153,-221,2448710,710521,46041,,,
International litigation fund,Mandatory,Offsetting receipts,Department of State                                             ,Department of State,150,153,-1,2448710,-238286,46041,,,
State Department Gift Fund,Mandatory,Offsetting receipts,Department of State                                             ,Department of State,150,153,-4,2448710,-238286,46041,,,
"Conributions, Educational and Cultural Exchange, USIA",Mandatory,Offsetting receipts,Department of State                                             ,Department of State,150,153,-1,2448710,-238286,46041,,,
Capitol visitor center,Discretionary,Nondefense,Legislative Branch                                              ,Architect of the Capitol,800,801,23,1195950,608399,24551,,,
Care of the building and grounds,Discretionary,Nondefense,Judicial Branch                                                 ,Supreme Court of the United States,750,752,11,1195950,608399,57711,,,
"Career, technical and adult education                           ",Discretionary,Nondefense,Department of Education                                         ,Office of Vocational and Adult Education,500,501,1704,1195950,608399,106339,,,
CDC-Wide Activities and Program Support                         ,Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,550,551,6083,1195950,608399,521222,,,
CDC-Wide Activities and Program Support                         ,Discretionary,Nondefense,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,550,552,319,1195950,608399,521222,,,
Centennial Challenge                                            ,Discretionary,Nondefense,Department of the Interior                                      ,National Park Service,300,303,15,1195950,608399,40158,,,
Central Hazardous Materials Fund                                ,Discretionary,Nondefense,Department of the Interior                                      ,Department-Wide Programs                                        ,300,304,12,1195950,608399,40158,,,
Japan-United States Friendship Trust Fund                       ,Mandatory,Other Spending,Japan-United States Friendship Commission                       ,Japan-United States Friendship Commission                       ,150,154,3,2448710,710521,46041,,,
Central Utah Project completion account,Discretionary,Nondefense,Department of the Interior                                      ,Central Utah Project,300,301,9,1195950,608399,40158,,,
Central Valley project restoration fund,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Reclamation,300,301,1,1195950,608399,40158,,,
Vietnam Debt Repayment Fund                                     ,Mandatory,Other Spending,Vietnam Education Foundation                                    ,Vietnam Education Foundation                                    ,150,154,8,2448710,710521,46041,,,
"Transfers from liquidating accounts, Vietnam debt repayment fund",Mandatory,Other Spending,Vietnam Education Foundation                                    ,Vietnam Education Foundation                                    ,150,154,-5,2448710,710521,46041,,,
Child nutrition programs,Discretionary,Nondefense,Department of Agriculture                                       ,Food and Nutrition Service,600,605,62,1195950,608399,519426,,,
Child Survival and Health Programs                              ,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,10,1195950,608399,46041,,,
Foreign military sales trust fund,Mandatory,Other Spending,International Assistance Programs                               ,Military Sales Program,150,155,30001,2448710,710521,46041,,,
Foreign Military Sales Trust Fund (Receipts),Mandatory,Other Spending,International Assistance Programs                               ,Military Sales Programs,150,155,-34000,2448710,710521,46041,,,
Exchange stabilization fund,Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,150,155,-47,2448710,710521,46041,,,
Children and families services programs,Discretionary,Nondefense,Department of Health and Human Services                         ,Administration for Children and Families,500,506,10332,1195950,608399,106339,,,
Export-Import Bank loans program account,Mandatory,Other Spending,Export-Import Bank of the United States                         ,Export-Import Bank of the United States                         ,150,155,-1281,2448710,710521,46041,,,
Choice Neighborhoods Initiative                                 ,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,600,604,61,1195950,608399,519426,,,
Export-Import Bank of the United States liquidating account,Mandatory,Other Spending,Export-Import Bank of the United States                         ,Export-Import Bank of the United States                         ,150,155,-14,2448710,710521,46041,,,
Citizenship and Immigration Services,Discretionary,Nondefense,Department of Homeland Security                                 ,Citizenship and Immigration Services,750,751,121,1195950,608399,57711,,,
Civil service retirement and disability fund,Discretionary,Nondefense,Office of Personnel Management                                  ,Office of Personnel Management,600,602,95,1195950,608399,519426,,,
Education and human resources,Mandatory,Other Spending,National Science Foundation                                     ,National Science Foundation,250,251,100,2448710,710521,30492,,,
Clean Technology Fund                                           ,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,171,1195950,608399,46041,,,
College housing and academic facilities loans program account,Discretionary,Nondefense,Department of Education                                         ,Office of Postsecondary Education,500,502,20,1195950,608399,106339,,,
"Colorado river basins power marketing fund, Western Area Power A",Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,270,271,-23,1195950,608399,4112,,,
Commodity assistance program,Discretionary,Nondefense,Department of Agriculture                                       ,Food and Nutrition Service,600,605,271,1195950,608399,519426,,,
Commodity Credit Corporation export loans program account,Discretionary,Nondefense,Department of Agriculture                                       ,Farm Service Agency,350,351,7,1195950,608399,20992,,,
Commodity Futures Trading Commission                            ,Discretionary,Nondefense,Commodity Futures Trading Commission                            ,Commodity Futures Trading Commission                            ,370,376,238,1195950,608399,-31246,,,
Community development financial institutions fund program accoun,Discretionary,Nondefense,Department of the Treasury                                      ,Departmental Offices,450,451,210,1195950,608399,20574,,,
Space Operations                                                ,Mandatory,Other Spending,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,250,252,1,2448710,710521,30492,,,
Community development fund,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Community Planning and Development,450,451,6552,1195950,608399,20574,,,
Community development loan guarantees program account,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Community Planning and Development,450,451,3,1195950,608399,20574,,,
Community Development Revolving Loan Fund                       ,Discretionary,Nondefense,National Credit Union Administration                            ,National Credit Union Administration                            ,370,373,2,1195950,608399,-31246,,,
Community oriented policing services,Discretionary,Nondefense,Department of Justice                                           ,Office of Justice Programs,750,754,236,1195950,608399,57711,,,
Community Planning and Development Personnel Compensation and Be,Discretionary,Nondefense,Department of Housing and Urban Development                     ,Management and Administration,450,451,107,1195950,608399,20574,,,
Community service employment for older Americans,Discretionary,Nondefense,Department of Labor                                             ,Employment and Training Administration,500,504,428,1195950,608399,106339,,,
Biomass Research and Development                                ,Mandatory,Other Spending,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,270,271,20,2448710,710521,4112,,,
Compact of free association,Discretionary,Nondefense,Department of the Interior                                      ,Insular Affairs,800,808,3,1195950,608399,24551,,,
Rural electrification and telecommunications loans program accou,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Utilities Service,270,271,-153,2448710,710521,4112,,,
Rural electrification and telecommunications liquidating account,Mandatory,Other Spending,Department of Agriculture                                       ,Rural Utilities Service,270,271,-750,2448710,710521,4112,,,
"Grants for Specified Energy Property in Lieu of Tax Credits, Rec",Mandatory,Other Spending,Department of the Treasury                                      ,Departmental Offices,270,271,746,2448710,710521,4112,,,
Payment to Issuer of New Clean Renewable Energy Bonds           ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,270,271,50,2448710,710521,4112,,,
Complex Crises Fund                                             ,Discretionary,Nondefense,Department of State                                             ,Other,150,151,45,1195950,608399,46041,,,
Title 17 innovative technology loan guarantee program           ,Mandatory,Other Spending,Department of Energy                                            ,Energy Programs,270,271,-71,2448710,710521,4112,,,
Conflict Stabilization Operations                               ,Discretionary,Nondefense,Department of State                                             ,Administration of Foreign Affairs,150,153,16,1195950,608399,46041,,,
Congressional printing and binding,Discretionary,Nondefense,Legislative Branch                                              ,Government Publishing Office                                    ,800,801,80,1195950,608399,24551,,,
"Congressional Research Service, Salaries and Expenses           ",Discretionary,Nondefense,Legislative Branch                                              ,Library of Congress,800,801,105,1195950,608399,24551,,,
Construction,Discretionary,Nondefense,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,1716,1195950,608399,40158,,,
Construction,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,30,1195950,608399,40158,,,
Construction,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,450,452,128,1195950,608399,20574,,,
Construction,Discretionary,Nondefense,Department of Justice                                           ,Legal Activities and U.S. Marshals,750,751,13,1195950,608399,57711,,,
Construction,Discretionary,Nondefense,Department of Justice                                           ,Federal Bureau of Investigation,750,751,135,1195950,608399,57711,,,
Construction,Discretionary,Nondefense,Department of Justice                                           ,Drug Enforcement Administration,750,751,2,1195950,608399,57711,,,
Bonneville Power Administration fund,Mandatory,Other Spending,Department of Energy                                            ,Power Marketing Administration,270,271,151,2448710,710521,4112,,,
"Western Area Power Administration, Borrowing Authority, Recovery",Mandatory,Other Spending,Department of Energy                                            ,Power Marketing Administration,270,271,35,2448710,710521,4112,,,
Construction                                                    ,Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Immigration and Customs Enforcement                        ,750,751,1,1195950,608399,57711,,,
Construction (and Major Maintenance)                            ,Discretionary,Nondefense,Department of the Interior                                      ,National Park Service,300,303,158,1195950,608399,40158,,,
"Construction, rehabilitation, operation and maintenance, Western",Mandatory,Other Spending,Department of Energy                                            ,Power Marketing Administration,270,271,5,2448710,710521,4112,,,
"Emergency fund, Western Area Power Administration",Mandatory,Other Spending,Department of Energy                                            ,Power Marketing Administration,270,271,1,2448710,710521,4112,,,
Construction and Environmental Compliance and Restoration       ,Discretionary,Nondefense,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,250,252,477,1195950,608399,30492,,,
Falcon and Amistad offsetting receipts,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-1,2448710,-238286,4112,,,
Construction of research facilities,Discretionary,Nondefense,Department of Commerce                                          ,National Institute of Standards and Technology,370,376,49,1195950,608399,-31246,,,
"Construction, Customs and Border Protection                     ",Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,750,751,345,1195950,608399,57711,,,
Ultra-deepwater and unconventional natural gas and other petrole,Mandatory,Other Spending,Department of Energy                                            ,Energy Programs,270,271,40,2448710,710521,4112,,,
Sale of minerals and mineral products(NPR),Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-5,2448710,-238286,4112,,,
"Western Area Power Administration, payment to Corps of Engineers",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-50,2448710,-238286,4112,,,
"Nuclear waste disposal fund, Energy",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-385,2448710,-238286,4112,,,
Southwestern Power,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-88,2448710,-238286,4112,,,
Proceeds from uranium sales,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-1,2448710,-238286,4112,,,
Southeastern Power,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-200,2448710,-238286,4112,,,
"Bonneville Power Administration, payment to Corps of Engineers",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-40,2448710,-238286,4112,,,
"Bonneville Power Administration, payment to Bureau of Reclamation",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-140,2448710,-238286,4112,,,
Western Area Power Administration,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-240,2448710,-238286,4112,,,
Falcom Dam,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,271,-2,2448710,-238286,4112,,,
"Construction, IBWC",Discretionary,Nondefense,Department of State                                             ,International Commissions,300,301,32,1195950,608399,40158,,,
Tennessee Valley Authority Fund                                 ,Mandatory,Other Spending,Tennessee Valley Authority                                      ,Tennessee Valley Authority                                      ,270,271,-50,2448710,710521,4112,,,
United States Enrichment Corporation Fund                       ,Mandatory,Other Spending,United States Enrichment Corporation Fund                       ,United States Enrichment Corporation Fund                       ,270,271,-3,2448710,710521,4112,,,
Payment to Issuer of Qualified Energy Conservation Bonds        ,Mandatory,Other Spending,Department of the Treasury                                      ,Internal Revenue Service,270,272,52,2448710,710521,4112,,,
"Construction, Major Projects                                    ",Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,703,1555,1195950,608399,179790,,,
"Construction, Minor Projects                                    ",Discretionary,Nondefense,Department of Veterans Affairs                                  ,Departmental Administration,700,703,547,1195950,608399,179790,,,
"Construction, rehabilitation, operation and maintenance, Western",Discretionary,Nondefense,Department of Energy                                            ,Power Marketing Administration,270,271,104,1195950,608399,4112,,,
Advanced Technology Vehicles Manufacturing Loan Program Account ,Mandatory,Other Spending,Department of Energy                                            ,Energy Programs,270,272,-12,2448710,710521,4112,,,
Contract Support Costs                                          ,Discretionary,Nondefense,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,450,452,277,1195950,608399,20574,,,
SPR petroleum account,Mandatory,Other Spending,Department of Energy                                            ,Energy Programs,270,274,36,2448710,710521,4112,,,
Contract Support Costs                                          ,Discretionary,Nondefense,Department of Health and Human Services                         ,Indian Health Service                                           ,550,551,718,1195950,608399,521222,,,
Sale of strategic petroleum reserve oil,Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,274,0,2448710,-238286,4112,,,
Contribution to the African Development Bank                    ,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,210,1195950,608399,46041,,,
Contribution to the Asian Development Bank,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,111,1195950,608399,46041,,,
Contribution to the Inter-American Development Bank,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,102,1195950,608399,46041,,,
Contribution to the International Bank for Reconstruction and De,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,355,1195950,608399,46041,,,
Contribution to the International Development Association,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,1197,1195950,608399,46041,,,
"Excess receipts, Federal Energy Regulatory Commission",Mandatory,Offsetting receipts,Department of Energy                                            ,Department of Energy,270,276,-15,2448710,-238286,4112,,,
Electric Reliability Organization                               ,Mandatory,Other Spending,Electric Reliability Organization                               ,Electric Reliability Organization                               ,270,276,56,2448710,710521,4112,,,
Contributions for international peacekeeping activities,Discretionary,Nondefense,Department of State                                             ,International Organizations and Conferences,150,153,2580,1195950,608399,46041,,,
Watershed rehabilitation program,Mandatory,Other Spending,Department of Agriculture                                       ,Natural Resources Conservation Service,300,301,75,2448710,710521,40158,,,
Contributions to international organizations,Discretionary,Nondefense,Department of State                                             ,International Organizations and Conferences,150,153,1457,1195950,608399,46041,,,
Bureau of Reclamation loan liquidating account,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,-1,2448710,710521,40158,,,
Contributions to the International Fund for Agricultural Develop,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,38,1195950,608399,46041,,,
Water and related resources,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,2,2448710,710521,40158,,,
Cooperative endangered species conservation fund,Discretionary,Nondefense,Department of the Interior                                      ,United States Fish and Wildlife Service,300,302,63,1195950,608399,40158,,,
"Copyright Office, Salaries and Expenses                         ",Discretionary,Nondefense,Legislative Branch                                              ,Library of Congress,370,376,22,1195950,608399,-31246,,,
Taos Settlement Fund                                            ,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,0,2448710,710521,40158,,,
Lower Colorado River Basin development fund,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,0,2448710,710521,40158,,,
Corporation for Public Broadcasting,Discretionary,Nondefense,Corporation for Public Broadcasting                             ,Corporation for Public Broadcasting                             ,500,503,485,1195950,608399,106339,,,
Lower Colorado River Basin development fund,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,13,2448710,710521,40158,,,
Council on Environmental Quality and Office of Environmental Qua,Discretionary,Nondefense,Executive Office of the President                               ,Council on Environmental Quality and Office of Environmental Qua,800,802,3,1195950,608399,24551,,,
Upper Colorado River Basin fund,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,28,2448710,710521,40158,,,
Court security,Discretionary,Nondefense,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",750,752,506,1195950,608399,57711,,,
Current Surveys and Programs                                    ,Discretionary,Nondefense,Department of Commerce                                          ,Bureau of the Census,370,376,271,1195950,608399,-31246,,,
Customs and Border Protection                                   ,Discretionary,Nondefense,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,750,751,8639,1195950,608399,57711,,,
Utah reclamation mitigation and conservation account,Mandatory,Other Spending,Department of the Interior                                      ,Central Utah Project,300,301,5,2448710,710521,40158,,,
San Joaquin restoration fund                                    ,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,12,2448710,710521,40158,,,
Reclamation Water Settlements Fund                              ,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,31,2448710,710521,40158,,,
"Colorado River dam fund, Boulder Canyon project",Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,77,2448710,710521,40158,,,
"Colorado River Dam, Boulder Canyon Project",Mandatory,Offsetting receipts,Other Defense Civil Programs                                    ,Other Defense Civil Programs,300,301,-90,2448710,-238286,40158,,,
Reclamation trust funds,Mandatory,Other Spending,Department of the Interior                                      ,Bureau of Reclamation,300,301,3,2448710,710521,40158,,,
Reclamation Fund and North Platte Project,Mandatory,Offsetting receipts,Department of the Interior                                      ,Bureau of Reclamation,300,301,-149,2448710,-238286,40158,,,
Reclamation Trust Fund,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,301,-3,2448710,-238286,40158,,,
San Joaquin River restoration fund receipts,Mandatory,Offsetting receipts,Department of the Interior                                      ,Department of the Interior,300,301,-1,2448710,-238286,40158,,,
Cyber Security Initiatives                                      ,Discretionary,Nondefense,Department of Transportation                                    ,Office of the Secretary,400,407,6,1195950,608399,90703,,,
Debt restructuring,Discretionary,Nondefense,International Assistance Programs                               ,Multilateral Assistance,150,151,20,1195950,608399,46041,,,
Defender services,Discretionary,Nondefense,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",750,752,1014,1195950,608399,57711,,,
Delta Regional Authority                                        ,Discretionary,Nondefense,Delta Regional Authority                                        ,Delta Regional Authority                                        ,450,452,13,1195950,608399,20574,,,
Democracy fund                                                  ,Discretionary,Nondefense,Department of State                                             ,Other,150,151,118,1195950,608399,46041,,,
Denali Commission                                               ,Discretionary,Nondefense,Denali Commission                                               ,Denali Commission                                               ,450,452,21,1195950,608399,20574,,,
Denali Commission Trust Fund                                    ,Discretionary,Nondefense,Denali Commission                                               ,Denali Commission                                               ,450,452,4,1195950,608399,20574,,,
Departmental administration,Discretionary,Nondefense,Department of Energy                                            ,Departmental Administration,270,276,147,1195950,608399,4112,,,
Departmental operations,Discretionary,Nondefense,Department of Homeland Security                                 ,Departmental Management and Operations                          ,750,751,593,1195950,608399,57711,,,
Department-wide systems and capital investments programs,Discretionary,Nondefense,Department of the Treasury                                      ,Departmental Offices,800,803,4,1195950,608399,24551,,,
Washington aqueduct,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,-1,2448710,710521,40158,,,
Development Assistance Program                                  ,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,2579,1195950,608399,46041,,,
Revolving fund,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,-2,2448710,710521,40158,,,
Coastal wetlands restoration trust fund,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,67,2448710,710521,40158,,,
Development credit authority program account,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,35,1195950,608399,46041,,,
Rivers and harbors contributed funds,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,414,2448710,710521,40158,,,
Rivers and harbors contributed funds,Mandatory,Offsetting receipts,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,-373,2448710,-238286,40158,,,
Development fund for Africa,Discretionary,Nondefense,International Assistance Programs                               ,Agency for International Development,150,151,2,1195950,608399,46041,,,
Permanent appropriations,Mandatory,Other Spending,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,12,2448710,710521,40158,,,
Receipts from leases of lands acq. for flood control,Mandatory,Offsetting receipts,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,-12,2448710,-238286,40158,,,
"User fees, fund for non-federal use of disposal facilities",Mandatory,Offsetting receipts,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,300,301,-3,2448710,-238286,40158,,,
Diplomatic and consular programs,Discretionary,Nondefense,Department of State                                             ,Administration of Foreign Affairs,150,153,7999,1195950,608399,46041,,,
Farm security and rural investment programs,Mandatory,Offsetting receipts,Department of Agriculture                                       ,Natural Resources Conservation Service,300,302,-4,2448710,-238286,40158,,,
Farm security and rural investment programs,Mandatory,Other Spending,Department of Agriculture                                       ,Natural Resources Conservation Service,300,302,3057,2448710,710521,40158,,,
Disaster assistance direct loan program account,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,93,1195950,608399,20574,,,
Disaster loans program account,Discretionary,Nondefense,Small Business Administration                                   ,Small Business Administration,450,453,301,1195950,608399,20574,,,
Disaster Relief Fund                                            ,Discretionary,Nondefense,Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,450,453,5918,1195950,608399,20574,,,
"Discretionary Grants (Transportation Trust Fund, Mass Transit Ac",Discretionary,Nondefense,Department of Transportation                                    ,Federal Transit Administration,400,401,3,1195950,608399,90703,,,
"Distance learning, telemedicine, and broadband program",Discretionary,Nondefense,Department of Agriculture                                       ,Rural Utilities Service,450,452,95,1195950,608399,20574,,,
